Uuid,Void/Retire,Fully specified name:en,Data class,Data type,Same as mappings,_version:1,_order:2500
82353AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Potassium citrate,Drug,N/A,CIEL:82353,,
82384AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Povidone-iodine,Drug,N/A,CIEL:82384,,
82416AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Praziquantel,Drug,N/A,CIEL:82416,,
82446AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Prednisolone,Drug,N/A,CIEL:82446,,
82534AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Primidone,Drug,N/A,CIEL:82534,,
82667AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Promethazine,Drug,N/A,CIEL:82667,,
82670AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Promethazine hydrochloride,Drug,N/A,CIEL:82670,,
82732AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Propranolol,Drug,N/A,CIEL:82732,,
83023AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Quinine,Drug,N/A,CIEL:83023,,
83067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Ramipril,Drug,N/A,CIEL:83067,,
83075AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Ranitidine,Drug,N/A,CIEL:83075,,
